submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
Ducking Far Pickup,duckingfarpickup,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking Pdx Illusion,duckingpdxillusion,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking Pdx Mirage,duckingpdxmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking Pdx Torque,duckingpdxtorque,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking PS Illusion,duckingpsillusion,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking PS Mirage,duckingpsmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking PS Whirl (Mullet),duckingpswhirlmullet,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Dwirl,dwirl,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ego / Tamboura,egotamboura,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy DLO (ss),fairydlo,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy far Mirage,fairyfarmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy Gyro Symposium Torque (Genuphobia),fairygyrosymposiumtorquegenuphobia,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
