t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
barraging_butterfly,blurriest,ducking_double_leg_over,1,2018,,5,5,4,14,,VSP,UNDETERMINED,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry TOE != CLIP, but sibling barraging_double_leg_over fits",ANY->CLIP | CLIP->CLIP | TOE->TOE
barraging_illusion,dolomite,paradox_symposium_whirl,1,2007,,4,5,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,ANY->TOE | TOE->CLIP | CLIP->CLIP
blur,dimwalk,food_processor,1,2006,Tobias Larsen,4,4,6,14,,SPP,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
blurry_whirl,dyno,paradox_symposium_whirl,1,2003,,5,4,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | ANY->CLIP | CLIP->CLIP
blurry_whirl,blurriest,bedwetter,1,2004,,5,5,4,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,APPARENTLY_INCOMPATIBLE,A ends CLIP; B requires TOE entry,CLIP->CLIP | CLIP->CLIP | TOE->TOE
blurry_whirl,paradox_symposium_whirl,spinning_whirl,1,2004,,5,5,4,14,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,paradox_whirl,sole_survivor,1,2005,Ilja Mitrofanov,5,4,5,14,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,paradox_symposium_whirl,whirling_swirl,1,2007,,5,5,4,14,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,ripwalk,paradox_symposium_whirl,1,2008,,5,4,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,whirling_swirl,superfly,1,2009,Wojciech Jamski,5,4,5,14,,SPS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
fairy_ducking_legover,phoenix,blurry_whirl,1,2018,,4,5,5,14,,SPS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | TOE->CLIP | CLIP->CLIP
fog,smoke,scorpions_tail,1,2004,,5,4,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
jani_walker,blurriest,flurry,1,2002,Sunil Jani,5,5,4,14,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->TOE
phoenix,bedwetter,dimmiest,1,2019,Jakub Mosciszewski,5,4,5,14,,PSS,SAME_FOOT,APPARENTLY_INCOMPATIBLE,A ends CLIP; B requires TOE entry,COMPATIBLE,A ends TOE; B enters TOE,TOE->CLIP | TOE->TOE | TOE->CLIP
pixie_paradon,ripwalk,paradox_symposium_whirl,1,2003,,5,4,5,14,,PSS,SAME_FOOT,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry CLIP != TOE, but sibling toe_ripwalk fits",COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | CLIP->CLIP | CLIP->CLIP
quantum_whirl,blurriest,blurry_whirl,1,2018,,4,5,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
ripped_warrior,ripwalk,blurry_whirl,1,2007,,5,4,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
smog,terraging_legover,dolomite,1,2007,,4,5,5,14,,PUS,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,NOT_MODELED,"A terminal is unparsed, no carried delay state",TOE->TOE | ANY->ANY | TOE->CLIP
spinning_double_leg_over,pixie_butterfly_swirl,spinning_torque,1,2019,Damian Gielnicki,4,5,5,14,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->TOE | TOE->CLIP | ANY->CLIP
