canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
ducking-ps-mirage,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X^+!1-Z,,parser-clean,fm=5;stanford=5,5,5,0,none,0
fairy,fairy,1_safest,,backfill_canonical_op_notation,4,4,"canonical,fborg,fm,stanford","canonical_db,fborg_text,fm_symbolic_grammar,stanford_corpus",1,canonical_active,2,1,0,4,FAIRY,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],,Z+0.-Z,,parser-clean,canonical=2;fborg=2;fm=2;stanford=2,2,2,0,none,0
fairy-clipper,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,TOE > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],TOE > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],,Z+0.+X,TOE > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],parser-clean,fborg=3;fm=3;stanford=3,3,3,0,none,0
fairy-ducking-butterfly,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+0^-0-X,,parser-clean,fm=5;stanford=5,5,5,0,none,0
fairy-pickup,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+0.-1+Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
fairy-ss-osis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z+0.\+X,Toe > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
fairy-symposium-mirage,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,2,,fairy(+1?) + symposium-mirage(3) --> 4 ADDs,,,Z+0.-!1-Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
far-reverse-whirl,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X.+0-X,,parser-clean,fm=3;stanford=3,3,3,0,none,0
fender,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z+0.-1\+X,Toe > Same Out (DEX) >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
fender-bender,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Duck (BOD) >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z+0^-1\+X,Toe > Same Out (DEX) >> Duck (BOD) >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=6;stanford=6,6,6,0,none,0
feral,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Op Front Whirl (DEX) > Op Clip (XBD)(DEL),,,Z+0.-1-X,Toe > Same Out (DEX) >> Op Front Whirl (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
