"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Nobius","nobius","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Nullwalk","nullwalk","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Ocean","ocean","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Odula","odula","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Oh Wheely","oh-wheely","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Omelette Du Fromage","omelette-du-fromage","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Original Barroque","original-barroque","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Orpheus","orpheus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Osmosis","osmosis","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Pandora`s Box","pandora`s-box","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Park Avenue","park-avenue","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Pdx Dada Curve","pdx-dada-curve","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Pdx Illusion","pdx-illusion","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Phase","phase","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Philibuster","philibuster","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Phobia","phobia","3 Observationally represented","A","footbagmoves","","","full","","high",""
"PLO","plo","3 Observationally represented","A","passback","","","full","","none",""
"POD","pod","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Porque","porque","3 Observationally represented","A","footbagmoves","","","full","","high",""
"PS Illusion","ps-illusion","3 Observationally represented","A","footbagmoves","","","full","","none",""
"PS Mirage","ps-mirage","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Pteradon","pteradon","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Quark","quark","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Rage","rage","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Rasmus","rasmus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Red Ribbon","red-ribbon","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Redwetter","redwetter","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Revstein","revstein","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Ripcurl","ripcurl","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Riptide","riptide","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Ropaduleo","ropaduleo","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Royall Assassin","royall-assassin","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Sabotage","sabotage","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Saildown","saildown","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Sasquatch","sasquatch","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Scorpions Toe Nail","scorpions-toe-nail","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Shaft","shaft","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Shmoe","shmoe","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Singularity","singularity","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Slap","slap","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Slapdown","slapdown","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Smashwalk","smashwalk","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Smile","smile","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Snowflake","snowflake","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Solestice","solestice","3 Observationally represented","A","passback","","","full","","none",""
"Spanish Fly","spanish-fly","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Spanishfly","spanishfly","3 Observationally represented","A","passback","","","full","","none",""
"Spikehammer","spikehammer","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Spitfire","spitfire","3 Observationally represented","A","footbagmoves","","","full","","low",""
"Stampede","stampede","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Sumo Thong","sumo-thong","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Sunilwalker","sunilwalker","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Super Ego","super-ego","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Superdeeduperfly","superdeeduperfly","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Superduperfly","superduperfly","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Supernova","supernova","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Swifter","swifter","3 Observationally represented","A","multi","","","full","","high",""
"Swivel","swivel","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Syberian Express","syberian-express","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Symp Eggbeater","symp-eggbeater","3 Observationally represented","A","passback","","","full","","none",""
"Symp Illusion","symp-illusion","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Symp Mirage","symp-mirage","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Symple Butterfly","symple-butterfly","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Tap Dance","tap-dance","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tapwater","tapwater","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Terminator","terminator","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Timberwulff","timberwulff","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tobius","tobius","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Toe Clipper","toe-clipper","3 Observationally represented","A","fborg","","","full","candidate","","high"
"Tofu","tofu","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tornado","tornado","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Torus","torus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tremor","tremor","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Triadon","triadon","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Trifly","trifly","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Triple ATW in-out","triple-atw-in-out","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Triple ATW out-in","triple-atw-out-in","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Triple Orbit","triple-orbit","3 Observationally represented","A","passback","","","full","","none",""
"Trochus","trochus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tunguska","tunguska","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Tutifruti","tutifruti","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Vertigo","vertigo","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Void","void","3 Observationally represented","A","passback","","","full","","none",""
"Wahnsinn","wahnsinn","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Warp","warp","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Wentletrappe","wentletrappe","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Whale Tail","whale-tail","3 Observationally represented","A","footbagmoves","","","full","","high",""
