"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Atomic Blacula (Your Mom)","atomic-blacula-your-mom","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Butterfly Swirl (Leg Beater Swirl)","atomic-butterfly-swirl-leg-beater-swirl","3 Observationally represented","B","stanford","atomic|whirl-swirl","","name-only","","",""
"Atomic DLO (Predator)","atomic-dlo-predator","3 Observationally represented","B","stanford","atomic|dlo-double-down","","name-only","","",""
"Atomic Ducking Blender (Super Ego)","atomic-ducking-blender-super-ego","3 Observationally represented","B","stanford","ducking|atomic|blender-torque","","name-only","","",""
"Atomic Ducking Butterfly (Atomic Warrior)","atomic-ducking-butterfly-atomic-warrior","3 Observationally represented","B","stanford","ducking|atomic","","name-only","","",""
"Atomic Ducking DLO (Tunguska)","atomic-ducking-dlo-tunguska","3 Observationally represented","B","stanford","ducking|atomic|dlo-double-down","","name-only","","",""
"Atomic Ducking Motion (Mont Royal)","atomic-ducking-motion-mont-royal","3 Observationally represented","B","stanford","ducking|atomic","","name-only","","",""
"Atomic Ducking Torque (Icarus)","atomic-ducking-torque-icarus","3 Observationally represented","B","stanford","ducking|atomic|blender-torque","","name-only","","",""
"Atomic Dyno (Corkscrew)","atomic-dyno-corkscrew","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Eggbeater (Blade Runner)","atomic-eggbeater-blade-runner","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Gyro Symposium Whirl (Crossfire)","atomic-gyro-symposium-whirl-crossfire","3 Observationally represented","B","stanford","symposium|gyro-spyro|atomic|whirl-swirl","","name-only","","",""
"Atomic Legover (Egg Plant)","atomic-legover-egg-plant","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Mirage (Atom Smasher)","atomic-mirage-atom-smasher","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Pickup (Scrambled Eggbeater)","atomic-pickup-scrambled-eggbeater","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Atomic Symposium Mirage (Witch Doctor)","atomic-symposium-mirage-witch-doctor","3 Observationally represented","B","stanford","symposium|atomic","","name-only","","",""
"Atomic Symposium Whirl (Gary Coleman)","atomic-symposium-whirl-gary-coleman","3 Observationally represented","B","stanford","symposium|atomic|whirl-swirl","","name-only","","",""
"Atomic Whirl (Reactor)","atomic-whirl-reactor","3 Observationally represented","B","stanford","atomic|whirl-swirl","","name-only","","",""
