"source_file","passback_primary_name","passback_alternate_names","passback_technical_name","passback_uptime_component","passback_downtime_component","passback_dex_count","passback_notes","normalized_primary_name","candidate_trick_slug","match_status","match_reason","match_confidence","passback_dex_count_vs_ifpa_adds","review_status","operator_notes"
"passback-dicrionary.txt","Ego","","Atomic far Blender","Atomic","Blender","2","","ego","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Enterrage","","Terraging Legover, (midtime) Toe near Flurry","","","3","","enterrage","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fairy (archaic)","","Midtime Toe near Illusion","","","","","fairy-archaic","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fairy Beater","Shutdown","Fairy far Butterfly","Fairy","Butterfly","2","","fairy-beater","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fear","","Fairy far Mirage","Fairy","Mirage","2","","fear","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fission","","Barraging far Illusion","Barraging","Illusion","3","","fission","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Flail","","Symp. Illusion","","","1","","flail","flail","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Flapper","","Xbd Sole Stall","","","","","flapper","cross-body-sole-stall","matched_existing","exact_alias_text","high","","auto_ok",""
"passback-dicrionary.txt","Flare","","Symp. Whirling far Mirage","Symp. Whirling","Mirage","2","","flare","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Flurricane","","Gyro Flurry","Spinning","Flurry","3","","flurricane","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Flurry","","(midtime) Barraging far Legover","","","3","","flurry","flurry","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Flux","","(downtime) Illusioning far Osis","","Flux","1","","flux","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fog","","Stepping far DLO","Stepping","DLO","3","","fog","fog","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Food Processor","Food","Stepping far Blender","Stepping","Blender","2","","food-processor","food-processor","matched_existing","exact_slug","high","-4","auto_ok",""
"passback-dicrionary.txt","Frankenstein","","Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein","Phasing","Swirl","3","","frankenstein","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fudge","","Fairy far Illusion","Fairy","Illusion","2","","fudge","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Fury","","Barraging far Mirage","Barraging","Mirage","3","","fury","fury","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Fusion","","Atomic far Double Down","Atomic","Double Down","3","","fusion","fusion","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Gangsta Party","","Spinning Ducking far Blender","Spinning","Blender","1","","gangsta-party","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Gary Coleman","","BS Reactor, Atomic far Symp. Whirl","Atomic","Symp. Whirl","2","","gary-coleman","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Gauntlet","","Stepping Ducking Torque","Stepping","Torque","2","","gauntlet","gauntlet","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","GDLO (""gee-dee-ell-oh"")","Whale Tail","Gyro DLO","Spinning","DLO","2","","gdlo-gee-dee-ell-oh","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Genesis","","Barraging far Whirl","Barraging","Whirl","3","","genesis","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Ghost","","Whirling Rake","","","","","ghost","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Golden Shower","","Stepping Ducking far Symp. Eggbeater","Stepping","Symp. Eggbeater","3","","golden-shower","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Goliath","","Pixie Ducking far DLO, Alpine Smog","Pixie","DLO","3","","goliath","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Gravedigger","","Stepping near Torque","Stepping","Torque","2","","gravedigger","grave-digger","matched_existing","compact_slug_match","medium","-3","auto_ok",""
"passback-dicrionary.txt","Green Eggs and Ham","","Stepping Ducking far Swivel","Stepping","Symp. Twirl","2","","green-eggs-and-ham","","new_candidate","no_match","medium","","needs_review",""
