slug,canonical_name,adds,trick_family,category,tier,has_set_page,family_has_covered_member,coverage_signal
fairy_clipper,fairy clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
pixie_opposite_clipper,pixie opposite clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
pixie_same_clipper,pixie same clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
reaper,reaper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
tapping_clipper,tapping clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
weaving_clipper,weaving clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
zulu_clipper,zulu clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
eclipse_same_side,eclipse same side,3,eclipse,compound,ADD3,,yes,candidate-covered
atomic_illusion,atomic illusion,3,illusion,compound,ADD3,yes,yes,candidate-covered
blazing_illusion,blazing illusion,3,illusion,compound,ADD3,,yes,candidate-covered
diving_illusion,diving illusion,3,illusion,compound,ADD3,,yes,candidate-covered
double_illusion,double illusion,3,illusion,compound,ADD3,,yes,candidate-covered
ducking_illusion,ducking illusion,3,illusion,compound,ADD3,,yes,candidate-covered
fairy_illusion,fairy illusion,3,illusion,compound,ADD3,yes,yes,candidate-covered
gyro_illusion,gyro illusion,3,illusion,compound,ADD3,,yes,candidate-covered
inspinning_illusion,inspinning illusion,3,illusion,compound,ADD3,,yes,candidate-covered
paradox_illusion,paradox illusion,3,illusion,compound,ADD3,,yes,candidate-covered
pixie_same_side_illusion,pixie same side illusion,3,illusion,compound,ADD3,,yes,candidate-covered
pogo_illusion,Pogo Illusion,3,illusion,compound,ADD3,,yes,candidate-covered
quantum_illusion,quantum illusion,3,illusion,compound,ADD3,yes,yes,candidate-covered
smudge_same_side,smudge same side,3,illusion,compound,ADD3,,yes,candidate-covered
spinning_illusion,spinning illusion,3,illusion,compound,ADD3,,yes,candidate-covered
symposium_bubba,symposium bubba,3,illusion,compound,ADD3,,yes,candidate-covered
tapping_illusion,tapping illusion,3,illusion,compound,ADD3,,yes,candidate-covered
weaving_illusion,weaving illusion,3,illusion,compound,ADD3,,yes,candidate-covered
zulu_illusion,zulu illusion,3,illusion,compound,ADD3,,yes,candidate-covered
atomic_guay,atomic guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
atomic_reverse_guay,atomic reverse guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
diving_guay,diving guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
diving_reverse_guay,diving reverse guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
ducking_guay,ducking guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
ducking_reverse_guay,ducking reverse guay,3,inside_stall,compound,ADD3,,yes,candidate-covered
