"name","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Pixie near Drifter","pixie-drifter","passback","passback","PIXIE DRIFTER","4","pixie(+1) + drifter(3) = 4","pixie > drifter","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Reverse Swirl","pixie-reverse-swirl","stanford","stanford","PIXIE REVERSE SWIRL","4","pixie(+1) + swirl(3) = 4","pixie > swirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Reverse Whirl","pixie-reverse-whirl","stanford","stanford","PIXIE REVERSE WHIRL","4","pixie(+1) + whirl(3) = 4","pixie > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Drifter","pixie-drifter","footbagmoves","footbagmoves","PIXIE DRIFTER","4","pixie(+1) + drifter(3) = 4","pixie > drifter","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Reverse Swirl","pixie-reverse-swirl","stanford","stanford","PIXIE REVERSE SWIRL","4","pixie(+1) + swirl(3) = 4","pixie > swirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Reverse Whirl","pixie-reverse-whirl","stanford","stanford","PIXIE REVERSE WHIRL","4","pixie(+1) + whirl(3) = 4","pixie > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Diving Butterfly","pixie-diving-butterfly","footbagmoves","footbagmoves","PIXIE DIVING BUTTERFLY","5","pixie(+1) + diving(+1) + butterfly(3) = 5","pixie|diving > butterfly","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + diving(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Diving near Butterfly","pixie-diving-butterfly","passback","passback","PIXIE DIVING BUTTERFLY","5","pixie(+1) + diving(+1) + butterfly(3) = 5","pixie|diving > butterfly","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + diving(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Ducking Butterfly","pixie-ducking-butterfly","multi","footbagmoves|passback","PIXIE DUCKING BUTTERFLY","5","pixie(+1) + ducking(+1) + butterfly(3) = 5","pixie|ducking > butterfly","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + ducking(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie far Symp. Eggbeater","pixie-symposium-eggbeater","passback","passback","PIXIE SYMPOSIUM. EGGBEATER","5","pixie(+1) + symposium(+1) + eggbeater(3) = 5","pixie|symposium > eggbeater","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + symposium(+1) + eggbeater(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Symposium Reverse Whirl","pixie-symposium-reverse-whirl","stanford","stanford","PIXIE SYMPOSIUM REVERSE WHIRL","5","pixie(+1) + symposium(+1) + whirl(3) = 5","pixie|symposium > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Symposium Reverse Whirl","pixie-symposium-reverse-whirl","stanford","stanford","PIXIE SYMPOSIUM REVERSE WHIRL","5","pixie(+1) + symposium(+1) + whirl(3) = 5","pixie|symposium > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Dolomite","pixie-dolomite","stanford","stanford","PIXIE DOLOMITE","6","pixie(+1) + dolomite(5) = 6","pixie > dolomite","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + dolomite(5) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Miraging Symposium Miraging Legover","pixie-miraging-symposium-miraging-legover","footbagmoves","footbagmoves","PIXIE MIRAGING SYMPOSIUM MIRAGING LEGOVER","6","pixie(+1) + miraging(+1) + symposium(+1) + miraging(+1) + legover(2) = 6","pixie|miraging|symposium|miraging > legover","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + miraging(+1) + symposium(+1) + miraging(+1) + legover(2) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Spinning Paradox Whirl","pixie-spinning-paradox-whirl","footbagmoves","footbagmoves","PIXIE SPINNING PARADOX WHIRL","6","pixie(+1) + spinning(+1) + paradox(+1) + whirl(3) = 6","pixie|spinning|paradox > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + spinning(+1) + paradox(+1) + whirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Symposium Whirling Swirl","pixie-symposium-whirling-swirl","footbagmoves","footbagmoves","PIXIE SYMPOSIUM WHIRLING SWIRL","6","pixie(+1) + whirling(+1) + symposium(+1) + swirl(3) = 6","pixie|whirling|symposium > swirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + whirling(+1) + symposium(+1) + swirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","footbagmoves","footbagmoves","PIXIE SPINNING PARADOX BLENDER","7","pixie(+1) + spinning(+1) + paradox(+1) + blender(4) = 7","pixie|spinning|paradox > blender","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + spinning(+1) + paradox(+1) + blender(4) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Spinning Paradox Symposium Whirl","pixie-spinning-paradox-symposium-whirl","footbagmoves","footbagmoves","PIXIE SPINNING PARADOX SYMPOSIUM WHIRL","7","pixie(+1) + spinning(+1) + paradox(+1) + symposium(+1) + whirl(3) = 7","pixie|spinning|paradox|symposium > whirl","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + spinning(+1) + paradox(+1) + symposium(+1) + whirl(3) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Gyro Reverse Guay","gyro-reverse-guay","stanford","stanford","GYRO REVERSE GUAY","3","gyro(+1) + guay(2) = 3","gyro > guay","high","stable","","spinning/gyro","T2","Mechanically derived: gyro(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Reverse Guay","spinning-reverse-guay","stanford","stanford","SPINNING REVERSE GUAY","3","spinning(+1) + guay(2) = 3","spinning > guay","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Toe Gyro Mirage","toe-gyro-mirage","passback","passback","TOE GYRO MIRAGE","3","gyro(+1) + mirage(2) = 3","gyro > mirage","high","stable","","spinning/gyro","T2","Mechanically derived: gyro(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Butterfly Gyro Toe","butterfly-gyro-toe","passback","passback","BUTTERFLY GYRO TOE","4","gyro(+1) + butterfly(3) = 4","gyro > butterfly","high","stable","","spinning/gyro","T2","Mechanically derived: gyro(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning near Eggbeater","spinning-eggbeater","passback","passback","SPINNING EGGBEATER","4","spinning(+1) + eggbeater(3) = 4","spinning > eggbeater","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + eggbeater(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Reverse Swirl","spinning-reverse-swirl","stanford","stanford","SPINNING REVERSE SWIRL","4","spinning(+1) + swirl(3) = 4","spinning > swirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Reverse Whirl","spinning-reverse-whirl","stanford","stanford","SPINNING REVERSE WHIRL","4","spinning(+1) + whirl(3) = 4","spinning > whirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling Gyro Mirage","whirling-gyro-mirage","footbagmoves","footbagmoves","WHIRLING GYRO MIRAGE","4","whirling(+1) + gyro(+1) + mirage(2) = 4","whirling|gyro > mirage","high","stable","","spinning/gyro","T2","Mechanically derived: whirling(+1) + gyro(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Gyro Diving Butterfly","gyro-diving-butterfly","stanford","stanford","GYRO DIVING BUTTERFLY","5","gyro(+1) + diving(+1) + butterfly(3) = 5","gyro|diving > butterfly","high","stable","","spinning/gyro","T2","Mechanically derived: gyro(+1) + diving(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Gyro Torque","gyro-torque","multi","footbagmoves|passback","GYRO TORQUE","5","gyro(+1) + torque(4) = 5","gyro > torque","high","stable","","spinning/gyro","T2","Mechanically derived: gyro(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning far Symp. Whirl","spinning-symposium-whirl","passback","passback","SPINNING SYMPOSIUM. WHIRL","5","spinning(+1) + symposium(+1) + whirl(3) = 5","spinning|symposium > whirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Whirling Swirl","spinning-whirling-swirl","stanford","stanford","SPINNING WHIRLING SWIRL","5","spinning(+1) + whirling(+1) + swirl(3) = 5","spinning|whirling > swirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + whirling(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Toe Spinning near Torque","toe-spinning-torque","passback","passback","TOE SPINNING TORQUE","5","spinning(+1) + torque(4) = 5","spinning > torque","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Diving near Symp. Whirl","spinning-diving-symposium-whirl","passback","passback","SPINNING DIVING SYMPOSIUM. WHIRL","6","spinning(+1) + diving(+1) + symposium(+1) + whirl(3) = 6","spinning|diving|symposium > whirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + diving(+1) + symposium(+1) + whirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning far Symp. Torque","spinning-symposium-torque","passback","passback","SPINNING SYMPOSIUM. TORQUE","6","spinning(+1) + symposium(+1) + torque(4) = 6","spinning|symposium > torque","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + symposium(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning far Symp. Whirling Swirl","spinning-symposium-whirling-swirl","passback","passback","SPINNING SYMPOSIUM. WHIRLING SWIRL","6","spinning(+1) + whirling(+1) + symposium(+1) + swirl(3) = 6","spinning|whirling|symposium > swirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + whirling(+1) + symposium(+1) + swirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning near Symp. Flux","spinning-symposium-flux","passback","passback","SPINNING SYMPOSIUM. FLUX","6","spinning(+1) + symposium(+1) + flux(4) = 6","spinning|symposium > flux","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + symposium(+1) + flux(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning near Symp. Torque","spinning-symposium-torque","passback","passback","SPINNING SYMPOSIUM. TORQUE","6","spinning(+1) + symposium(+1) + torque(4) = 6","spinning|symposium > torque","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + symposium(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Tomahawk","spinning-tomahawk","passback","passback","SPINNING TOMAHAWK","6","spinning(+1) + tomahawk(5) = 6","spinning > tomahawk","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + tomahawk(5) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning far Miraging Symp. Miraging Refraction","spinning-miraging-symposium-miraging-refraction","passback","passback","SPINNING MIRAGING SYMPOSIUM. MIRAGING REFRACTION","7","spinning(+1) + miraging(+1) + symposium(+1) + miraging(+1) + refraction(3) = 7","spinning|miraging|symposium|miraging > refraction","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + miraging(+1) + symposium(+1) + miraging(+1) + refraction(3) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning far Miraging Symp. Torque","spinning-miraging-symposium-torque","passback","passback","SPINNING MIRAGING SYMPOSIUM. TORQUE","7","spinning(+1) + miraging(+1) + symposium(+1) + torque(4) = 7","spinning|miraging|symposium > torque","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + miraging(+1) + symposium(+1) + torque(4) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Paradox Symposium Whirling Swirl","spinning-paradox-symposium-whirling-swirl","footbagmoves","footbagmoves","SPINNING PARADOX SYMPOSIUM WHIRLING SWIRL","7","spinning(+1) + whirling(+1) + paradox(+1) + symposium(+1) + swirl(3) = 7","spinning|whirling|paradox|symposium > swirl","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + whirling(+1) + paradox(+1) + symposium(+1) + swirl(3) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Paradox Miraging Symposium Torque","spinning-paradox-miraging-symposium-torque","footbagmoves","footbagmoves","SPINNING PARADOX MIRAGING SYMPOSIUM TORQUE","8","spinning(+1) + paradox(+1) + miraging(+1) + symposium(+1) + torque(4) = 8","spinning|paradox|miraging|symposium > torque","high","stable","","spinning/gyro","T2","Mechanically derived: spinning(+1) + paradox(+1) + miraging(+1) + symposium(+1) + torque(4) = 8; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Stepping far Illusion","stepping-illusion","passback","passback","STEPPING ILLUSION","3","stepping(+1) + illusion(2) = 3","stepping > illusion","high","stable","","stepping","T2","Mechanically derived: stepping(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Stepping far Mirage","stepping-mirage","passback","passback","STEPPING MIRAGE","3","stepping(+1) + mirage(2) = 3","stepping > mirage","high","stable","","stepping","T2","Mechanically derived: stepping(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Stepping Guay","stepping-guay","stanford","stanford","STEPPING GUAY","3","stepping(+1) + guay(2) = 3","stepping > guay","high","stable","","stepping","T2","Mechanically derived: stepping(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
