"name","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Clipper far Symp Whirl","clipper-symposium-whirl","passback","passback","CLIPPER SYMPOSIUM WHIRL","4","symposium(+1) + whirl(3) = 4","symposium > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: symposium(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Eclipse","diving-eclipse","stanford","stanford","DIVING ECLIPSE","4","diving(+1) + eclipse(3) = 4","diving > eclipse","high","stable","","whirl/osis/other","T2","Mechanically derived: diving(+1) + eclipse(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Reverse Swirl","diving-reverse-swirl","stanford","stanford","DIVING REVERSE SWIRL","4","diving(+1) + swirl(3) = 4","diving > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: diving(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Swirl","diving-swirl","stanford","stanford","DIVING SWIRL","4","diving(+1) + swirl(3) = 4","diving > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: diving(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Whirl","diving-whirl","footbagmoves","footbagmoves","DIVING WHIRL","4","diving(+1) + whirl(3) = 4","diving > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: diving(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Reverse Swirling Osis","reverse-swirling-osis","footbagmoves","footbagmoves","REVERSE SWIRLING OSIS","4","swirling(+1) + osis(3) = 4","swirling > osis","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + osis(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Swirling Butterfly","swirling-butterfly","stanford","stanford","SWIRLING BUTTERFLY","4","swirling(+1) + butterfly(3) = 4","swirling > butterfly","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling near Swirl","swirling-swirl","passback","passback","SWIRLING SWIRL","4","swirling(+1) + swirl(3) = 4","swirling > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling Reverse Swirl","swirling-reverse-swirl","footbagmoves","footbagmoves","SWIRLING REVERSE SWIRL","4","swirling(+1) + swirl(3) = 4","swirling > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling Whirl","swirling-whirl","stanford","stanford","SWIRLING WHIRL","4","swirling(+1) + whirl(3) = 4","swirling > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Toe ss Symp Swirl","toe-symposium-swirl","passback","passback","TOE SYMPOSIUM SWIRL","4","symposium(+1) + swirl(3) = 4","symposium > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: symposium(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Toe Whirling Swirl","toe-whirling-swirl","stanford","stanford","TOE WHIRLING SWIRL","4","whirling(+1) + swirl(3) = 4","whirling > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling far Butterfly","whirling-butterfly","footbagmoves","footbagmoves","WHIRLING BUTTERFLY","4","whirling(+1) + butterfly(3) = 4","whirling > butterfly","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Whirling far Whirl","whirling-whirl","passback","passback","WHIRLING WHIRL","4","whirling(+1) + whirl(3) = 4","whirling > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling pdx Mirage","whirling-paradox-mirage","footbagmoves","footbagmoves","WHIRLING PARADOX MIRAGE","4","whirling(+1) + paradox(+1) + mirage(2) = 4","whirling|paradox > mirage","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + paradox(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Whirling Reverse Whirl","whirling-reverse-whirl","footbagmoves","footbagmoves","WHIRLING REVERSE WHIRL","4","whirling(+1) + whirl(3) = 4","whirling > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Whirl","barraging-whirl","passback","passback","BARRAGING WHIRL","5","barraging(+2) + whirl(3) = 5","barraging > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: barraging(+2) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Torque","blazing-torque","stanford","stanford","BLAZING TORQUE","5","blazing(+1) + torque(4) = 5","blazing > torque","high","stable","","whirl/osis/other","T2","Mechanically derived: blazing(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Reverse Swirling Blender","reverse-swirling-blender","stanford","stanford","REVERSE SWIRLING BLENDER","5","swirling(+1) + blender(4) = 5","swirling > blender","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + blender(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Reverse Whirling Twirl","reverse-whirling-twirl","stanford","stanford","REVERSE WHIRLING TWIRL","5","whirling(+1) + twirl(4) = 5","whirling > twirl","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + twirl(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging far Whirl","surging-whirl","passback","passback","SURGING WHIRL","5","spinning(+1) + stepping(+1) + whirl(3) = 5","spinning|stepping > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: spinning(+1) + stepping(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling Whirling Swirl","swirling-whirling-swirl","stanford","stanford","SWIRLING WHIRLING SWIRL","5","swirling(+1) + whirling(+1) + swirl(3) = 5","swirling|whirling > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + whirling(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp Whirling Swirl","symposium-whirling-swirl","passback","passback","SYMPOSIUM WHIRLING SWIRL","5","whirling(+1) + symposium(+1) + swirl(3) = 5","whirling|symposium > swirl","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + symposium(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Reverse Swirling PS Whirl","reverse-swirling-paradox-symposium-whirl","stanford","stanford","REVERSE SWIRLING PARADOX SYMPOSIUM WHIRL","6","swirling(+1) + paradox(+1) + symposium(+1) + whirl(3) = 6","swirling|paradox|symposium > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + paradox(+1) + symposium(+1) + whirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
