"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"nuclear_whirl","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_whirl","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"orbit_kick","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"osis","osis-rotational-topology","base_trick=osis","high","topology heuristic"
"outside_stall","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"paradon_swirl","back-spin-dex","base_trick=swirl","high","base_trick mapping"
"paradon_swirl","swirl-rotational-topology","base_trick=swirl","high","topology heuristic"
"paradox_barrage","double-dex-topology","barrage/barfly canonical double-dex pattern","high","topology heuristic"
"paradox_barrage","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_blender","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"paradox_blender","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_blizzard","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_blur","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_blur","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"paradox_da_da_curve","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_double_leg_over","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_drifter","drifter-miraging-clipper-topology","base_trick=drifter","high","topology heuristic"
"paradox_drifter","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_eggbeater","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_flail","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_flurry","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_high_plains_drifter","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_illusion","hippy-out-dex","base_trick=illusion","high","base_trick mapping"
"paradox_illusion","illusion-topology","base_trick=illusion","high","topology heuristic"
"paradox_illusion","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_mirage","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"paradox_mirage","mirage-topology","base_trick=mirage","high","topology heuristic"
"paradox_mirage","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"paradox_ripwalk","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_eggbeater","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paradox_symposium_eggbeater","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_eggbeater","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paradox_symposium_illusion","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_mirage","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paradox_symposium_mirage","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_mirage","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paradox_symposium_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"paradox_symposium_torque","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paradox_symposium_torque","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_torque","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paradox_symposium_whirl","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paradox_symposium_whirl","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_whirl","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paradox_symposium_whirling_rake","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paradox_symposium_whirling_rake","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_symposium_whirling_rake","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paradox_symposium_whirling_rake","whirling-family","modifier_link=whirling","high","freestyle_trick_modifier_links"
"paradox_torque","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_torque","torque-rotational-topology","base_trick=torque","high","topology heuristic"
"paradox_whirl","front-spin-dex","base_trick=whirl","high","base_trick mapping"
"paradox_whirl","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_whirl","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"paradox_whirling_rake","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paradox_whirling_rake","whirling-family","modifier_link=whirling","high","freestyle_trick_modifier_links"
"paradox_whirling_swirl","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"parallax","leggy-pass","base_trick=legover","high","base_trick mapping"
"parallax","legover-topology","base_trick=legover","high","topology heuristic"
"paratoxic","front-spin-dex","base_trick=whirl","high","base_trick mapping"
"paratoxic","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"paratoxic","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"paratoxic","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"paratoxic","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"parkwalk","butterfly-wing-topology","base_trick=butterfly","high","topology heuristic"
"parkwalk","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"parkwalk","wing-motion-dex","base_trick=butterfly","high","base_trick mapping"
"paste","pickup-topology","base_trick=pickup","high","topology heuristic"
"paste","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"paste","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"peak_stall","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"phoenix","butterfly-wing-topology","base_trick=butterfly","high","topology heuristic"
"phoenix","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"phoenix","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"phoenix","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
