"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Double Spinning Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Down Double Down","","Clipper set ss Double Over Down","4","Clip >> Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","clip","op out","","","","same out","clip","","XBD","DEX|DEX|XBD|DEL","clip ⟫ op out(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","4","0","clip-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Dragonstein","","Double Swirl Dragon","4","Clip >> Same Back Swirl (BOD) >> Same Back Swirl (BOD) > Same Dragon (XBD)(DEL)","clip","","","","","","Same Dragon (XBD)(DEL)","","XBD","BOD|BOD|XBD|DEL","clip ⟫ same back swirl(BOD) ⟫ same back swirl(BOD) › same(XBD,DEL)","4","0","clip-back-swirl-?","swirl-family","dragon","medium","needs_review",""
"footbagmoves","footbagmoves-3-4adds.txt","Ducking Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Ducking Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Ducking Pdx Illusion","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Ducking Pdx Mirage","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Dyno (far)","","Reverse Blender","4","Clip >> Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL)","clip","op back whirl","","","back-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ op back whirl(DEX) › [back] spin(BOD) › same clip(XBD,DEL)","4","0","clip-spin-whirl","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Dyno (same side)","","Reverse Blender","4","Clip >> Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL)","clip","op back whirl","","","back-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ op back whirl(DEX) › [back] spin(BOD) › same clip(XBD,DEL)","4","0","clip-spin-whirl","spin-family","","high","ok","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Enterrage","","Terraging Legover","4","Toe > Same In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","toe","same in","same in","","","op out","toe","","","DEX|DEX|DEX|DEL","toe › same in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
