fm_name,target_slug,target_canonical,divergence_type,fm_technical_name,flag
Tofu,quantum_blender,quantum-blender,abbreviation/short-folk,Quantum Blender,evidence-only (doctrine operator)
Torch-r Rack,stepping_superfly,stepping-superfly,folk-name,Stepping Superfly,clean
Triage,triple_mirage,triple-mirage,already-an-alias,Triple Mirage,covered
Whirlwind,spinning_symposium_whirl,spinning symposium whirl,already-an-alias,Spinning Paradox Symposium Whirl,covered
Whirlygig,stepping_symposium_whirl,stepping-symposium-whirl,already-an-alias,Blurry Symposium Whirl,covered
Amadeus,gyro_dada_curve,gyro-dada-curve,folk-name,Gyro Dada Curve,clean
Atomic DLO,atomic_double_leg_over,atomic-double-leg-over,already-an-alias,,covered
Barroque,barraging_osis,barraging osis,already-an-alias,Barraging Osis,covered
Blacula,symposium_double_over_down,symposium-double-over-down,folk-name,Symposium Double Over Down,clean
Boulderbeater,quantum_eggbeater,quantum-eggbeater,folk-name,Quantum Eggbeater,evidence-only (doctrine operator)
Conniption City,quantum_symposium_mirage,quantum-symposium-mirage,folk-name,Quantum Symposium Mirage,evidence-only (doctrine operator)
Cyclone,shooting_gyro_mirage,shooting-gyro-mirage,folk-name,Shooting Gyro Mirage,clean
Desien,sailing_butterfly,Sailing Butterfly,folk-name,Sailing Butterfly,evidence-only (doctrine operator)
Dominatrix,sailing_mirage,Sailing Mirage,already-an-alias,Sailing Mirage,covered
Double Helix,symposium_reverse_whirling_swirl,symposium reverse whirling swirl,folk-name,Symposium Reverse Whirling Swirl,clean
Fairy Torque (same side),fairy_torque,fairy-torque,positional/directional,,clean
Fracture,sailing_double_leg_over,Sailing Double Leg Over,already-an-alias,Sailing ss Double Legover,covered
Frankenstein,fairy_swirling_swirl,fairy-swirling-swirl,already-an-alias,Phasing ss Swirl,covered
Godzilla,nuclear_dyno,nuclear-dyno,already-an-alias,Nuclear ss Dyno,covered
Jacknife,stepping_diving_butterfly,stepping-diving-butterfly,folk-name,Stepping Diving Butterfly,clean
Janiwalker,barraging_butterfly,barraging-butterfly,already-an-alias,Barraging Butterfly,covered
Juggernaut,fairy_symposium_eggbeater,fairy-symposium-eggbeater,folk-name,Fairy Symposium Eggbeater,clean
Merlin,miraging_symposium_mirage,miraging-symposium-mirage,already-an-alias,Miraging Symposium Mirage,covered
Nobius,surging_same_side_osis,Surging Same-Side Osis,folk-name,Surging ss Osis,evidence-only (doctrine operator)
Pdx Blender,paradox_blender,paradox blender,already-an-alias,,covered
Pdx Torque,paradox_torque,paradox torque,already-an-alias,,covered
Pixie Torque (same side),pixie_torque,pixie-torque,positional/directional,,clean
